SampleID,project,sample_type,site_depth_mbss,deployment,core,horizon_depth_cmbsf,mean_horizon_depth,nucl_acid,pcr_replicate,extraction_replicate,gene
DL12-OC17-0404-EP,AT36,Blank,BlankD,NA,NA,NA,NA,NA,NA,1,nifH
DL12-OC17-0505-EP,AT36,Blank,BlankE2,NA,NA,NA,NA,NA,NA,1,nifH
DL12-OC17-0606-EP,AT36,Blank,BlankF,NA,NA,NA,NA,NA,NA,1,nifH
DL12-OC17-0707-EP,AT36,Blank,BlankGredo,NA,NA,NA,NA,NA,NA,1,nifH
DL12-OC17-1604-EP,AT36,Mock,MockC,NA,NA,NA,NA,DNA,NA,1,nifH
DL12-OC17-1606-EP,AT36,Mock,MockF,NA,NA,NA,NA,DNA,NA,1,nifH
DL12-OC17-0413-EP,AT36,Mock,MockY,NA,NA,NA,NA,DNA,NA,1,nifH
DL12-OC17-0304-EP,AT36,Sample,NewEnglandSeep3,A,1,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0804-EP,AT36,Sample,NewEnglandSeep3,A,1,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-0904-EP,AT36,Sample,NewEnglandSeep3,A,1,15+cm,NA,DNA,1,1,nifH
DL12-OC17-0504-EP,AT36,Sample,NewEnglandSeep3,A,1,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0604-EP,AT36,Sample,NewEnglandSeep3,A,1,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-0311-EP,AT36,Sample,NewEnglandSeep3,A,1,6cm9cm,7.5,DNA,2,1,nifH
DL12-OC17-0704-EP,AT36,Sample,NewEnglandSeep3,A,1,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-1004-EP,AT36,Sample,NewEnglandSeep3,A,9,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-1404-EP,AT36,Sample,NewEnglandSeep3,A,9,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-1504-EP,AT36,Sample,NewEnglandSeep3,A,9,15+cm,NA,DNA,1,1,nifH
DL12-OC17-1104-EP,AT36,Sample,NewEnglandSeep3,A,9,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-1204-EP,AT36,Sample,NewEnglandSeep3,A,9,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-1304-EP,AT36,Sample,NewEnglandSeep3,A,9,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-0105-EP,AT36,Sample,NewEnglandSeep3,I,10,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0605-EP,AT36,Sample,NewEnglandSeep3,I,10,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-0205-EP,AT36,Sample,NewEnglandSeep3,I,10,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0305-EP,AT36,Sample,NewEnglandSeep3,I,10,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-0405-EP,AT36,Sample,NewEnglandSeep3,I,10,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-0705-EP,AT36,Sample,NewEnglandSeepOff ,I,5,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0411-EP,AT36,Sample,NewEnglandSeepOff ,I,5,0cm3cm,1.5,DNA,2,1,nifH
DL12-OC17-1105-EP,AT36,Sample,NewEnglandSeepOff ,I,5,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-0805-EP,AT36,Sample,NewEnglandSeepOff ,I,5,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0905-EP,AT36,Sample,NewEnglandSeepOff ,I,5,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-1005-EP,AT36,Sample,NewEnglandSeepOff ,I,5,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-1205-EP,AT36,Sample,ShallopCanyonEast,A,5,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-1305-EP,AT36,Sample,ShallopCanyonEast,A,5,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0511-EP,AT36,Sample,ShallopCanyonEast,A,5,3cm6cm,4.5,DNA,2,1,nifH
DL12-OC17-1207-EP,AT36,Sample,ShallopCanyonOff,I,10,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-1307-EP,AT36,Sample,ShallopCanyonOff,I,10,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-1407-EP,AT36,Sample,ShallopCanyonOff,I,10,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-1110-EP,AT36,Sample,ShallopCanyonOff,I,10,9cm12cm,10.5,DNA,2,1,nifH
DL12-OC17-1011-EP,AT36,Sample,ShallopCanyonOff,I,10,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-0407-EP,AT36,Sample,ShallopCanyonWest,A,7,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0907-EP,AT36,Sample,ShallopCanyonWest,A,7,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-0507-EP,AT36,Sample,ShallopCanyonWest,A,7,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0607-EP,AT36,Sample,ShallopCanyonWest,A,7,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-0807-EP,AT36,Sample,ShallopCanyonWest,A,7,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-1406-EP,AT36,Sample,ShallopCanyonWest,I,3,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0307-EP,AT36,Sample,ShallopCanyonWest,I,3,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-0113-EP,AT36,Sample,ShallopCanyonWest,I,3,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-1506-EP,AT36,Sample,ShallopCanyonWest,I,3,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0107-EP,AT36,Sample,ShallopCanyonWest,I,3,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-0207-EP,AT36,Sample,ShallopCanyonWest,I,3,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-0706-EP,AT36,Sample,VeatchCanyon 2,A,5,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-1206-EP,AT36,Sample,VeatchCanyon 2,I,1,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-1007-EP,AT36,Sample,VeatchCanyon1and2,A,2,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-1107-EP,AT36,Sample,VeatchCanyon1and2,A,8,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0213-EP,AT36,Sample,VeatchCanyon1and2,A,8,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0306-EP,AT36,Sample,VeatchCanyon2,A,5,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0806-EP,AT36,Sample,VeatchCanyon2,A,5,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-0406-EP,AT36,Sample,VeatchCanyon2,A,5,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0506-EP,AT36,Sample,VeatchCanyon2,A,5,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-0906-EP,AT36,Sample,VeatchCanyon2,I,1,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-1306-EP,AT36,Sample,VeatchCanyon2,I,1,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-1006-EP,AT36,Sample,VeatchCanyon2,I,1,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-1106-EP,AT36,Sample,VeatchCanyon2,I,1,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-1405-EP,AT36,Sample,VeatchCanyon2,S,10,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0206-EP,AT36,Sample,VeatchCanyon2,S,10,12cm15cm,13.5,DNA,1,1,nifH
DL12-OC17-1505-EP,AT36,Sample,VeatchCanyon2,S,10,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0313-EP,AT36,Sample,VeatchCanyon2,S,10,3cm6cm,4.5,DNA,2,1,nifH
DL12-OC17-1605-EP,AT36,Sample,VeatchCanyon2,S,10,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-0106-EP,AT36,Sample,VeatchCanyon2,S,10,9cm12cm,10.5,DNA,1,1,nifH
DL12-OC17-0611-EP,AT36,Sample,VeatchCanyonOff,I,1,0cm3cm,1.5,DNA,1,1,nifH
DL12-OC17-0711-EP,AT36,Sample,VeatchCanyonOff,I,1,3cm6cm,4.5,DNA,1,1,nifH
DL12-OC17-0811-EP,AT36,Sample,VeatchCanyonOff,I,1,6cm9cm,7.5,DNA,1,1,nifH
DL12-OC17-1210-EP,AT36,Sample,VeatchCanyonOff,I,1,9cm12cm,10.5,DNA,2,1,nifH
DL12-OC17-0911-EP,AT36,Sample,VeatchCanyonOff,I,1,9cm12cm,10.5,DNA,1,1,nifH
