SampleID,site_depth_mbss,mean_horizon_depth,organic_c_wtperc,part_n_wtperc,cn_ratio,temperature_C,salinity_psu,bw_o2_mg_l,porosity_cm3pore_cm3sed,pore_o2_mg_l,NH4_uM,PO4_uM,NOx_uM,NO2_uM,NO3_uM,sulfide_mM,chloride_mM,bromide_mM,sulfate_mM,acetate_mM,formate_mM
limit,0,0,0,0,0,0,0,0,0,0,0.5,0.05,1,0.1,1,0.02,0.1,0.2,0.1,0.1,0.1
DL12-OC17-0801-EP,100,2.5,0.8,0.1,8,9.04,33.91,2.14,0.6,NA,7.47,4.5,4.31,BLQ,4.31,BLQ,553.62,0.82,28.14,0.02,BLQ
DL12-OC17-0901-EP,100,7.5,1.1,0.1,8.2,9.04,33.91,2.14,0.54,NA,64.97,21.47,3.17,BLQ,3.17,BLQ,559.35,0.81,28.24,0.03,BLQ
DL12-OC17-1001-EP,100,12.5,0.6,0.1,5.4,9.04,33.91,2.14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-1101-EP,100,17.5,0.6,0.1,5.5,9.04,33.91,2.14,0.52,NA,71.94,8.41,BLQ,BLQ,BLQ,BLQ,568.12,0.83,28.4,0.05,BLQ
DL12-OC17-0112-EP,100,22.5,0.8,0.1,7.8,9.04,33.91,2.14,0.5,NA,72.21,8.68,2.65,BLQ,2.65,BLQ,548.73,0.82,27.63,0.04,BLQ
DL12-OC17-0201-EP,100,2.5,0.8,0.1,8,9.04,33.91,2.14,0.56,NA,28.79,16.68,5.42,1.85,3.56,BLQ,561.5,0.81,28.4,0.04,BLQ
DL12-OC17-0301-EP,100,7.5,1.1,0.1,8.2,9.04,33.91,2.14,0.51,NA,68.65,11.09,0.29,BLQ,0.29,BLQ,554.22,0.8,27.92,0.04,BLQ
DL12-OC17-0401-EP,100,12.5,0.6,0.1,5.4,9.04,33.91,2.14,0.52,NA,68.52,7.43,0.29,BLQ,0.29,BLQ,555.94,0.8,28.12,0.05,BLQ
DL12-OC17-0501-EP,100,17.5,0.6,0.1,5.5,9.04,33.91,2.14,0.53,NA,68.92,6.95,1.45,BLQ,1.45,BLQ,552.01,0.8,27.86,0.05,BLQ
DL12-OC17-0601-EP,100,22.5,0.8,0.1,7.8,9.04,33.91,2.14,0.51,NA,85.18,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,NA
DL12-OC17-1507-EP,100,22.5,0.8,0.1,7.8,9.04,33.91,2.14,0.51,NA,85.18,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,NA
DL12-OC17-0701-EP,100,22.5,0.8,0.1,7.8,9.04,33.91,2.14,0.51,NA,85.18,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,NA
DL12-OC17-1201-EP,494,1.25,0.8,0.1,9.2,6.56,34.2,0.6,0.52,BLQ,6.55,7.49,BLQ,BLQ,BLQ,BLQ,556.18,0.73,NA,0.04,BLQ
DL12-OC17-1301-EP,494,3.75,0.8,0.1,9.2,6.56,34.2,0.6,0.48,BLQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DL12-OC17-1401-EP,494,7.5,0.5,0.1,7.2,6.56,34.2,0.6,0.48,BLQ,13.26,3.09,BLQ,BLQ,BLQ,BLQ,579.45,0.76,27.52,0.04,BLQ
DL12-OC17-1501-EP,494,12.5,0.6,0,12.5,6.56,34.2,0.6,0.45,BLQ,22.69,3.31,0.94,1.19,BLQ,BLQ,581.56,0.76,26.78,0.04,BLQ
DL12-OC17-1601-EP,494,17.5,0.7,0,14.9,6.56,34.2,0.6,0.44,BLQ,18.13,2.65,BLQ,BLQ,BLQ,BLQ,565.51,0.73,26.79,0.03,BLQ
DL12-OC17-0212-EP,494,1.25,0.8,0.1,9.2,6.56,34.2,0.6,0.49,BLQ,7.34,5.5,4.83,0.84,3.99,BLQ,597.06,0.78,28.34,0.02,BLQ
DL12-OC17-0102-EP,494,3.75,0.8,0.1,9.2,6.56,34.2,0.6,0.48,BLQ,22.86,6.73,BLQ,0.5,BLQ,BLQ,583.57,0.76,29.54,0.02,BLQ
DL12-OC17-0302-EP,494,7.5,0.5,0.1,7.2,6.56,34.2,0.6,0.49,BLQ,18.92,4.62,BLQ,BLQ,BLQ,BLQ,606.13,0.81,27.94,0.04,BLQ
DL12-OC17-0402-EP,494,12.5,0.6,0,12.5,6.56,34.2,0.6,0.49,BLQ,17.86,2.8,BLQ,BLQ,BLQ,BLQ,608.32,0.78,28.51,0.03,BLQ
DL12-OC17-0502-EP,1028,2.5,NA,NA,NA,NA,NA,NA,0.62,NA,17.03,8.01,BLQ,0.36,BLQ,BLQ,564.34,0.83,28.76,0.03,BLQ
DL12-OC17-1410-EP,1028,2.5,NA,NA,NA,NA,NA,NA,0.62,NA,17.03,8.01,BLQ,0.36,BLQ,BLQ,564.34,0.83,28.76,0.03,BLQ
DL12-OC17-0108-EP,1028,7.5,NA,NA,NA,NA,NA,NA,0.64,NA,24.18,7.58,BLQ,0.47,BLQ,BLQ,560.13,0.82,28.76,0.05,BLQ
DL12-OC17-0208-EP,1028,12.5,NA,NA,NA,NA,NA,NA,0.67,NA,37.08,6.55,BLQ,0.25,BLQ,BLQ,546.76,0.81,27.99,0.04,BLQ
DL12-OC17-0308-EP,1028,27.5,NA,NA,NA,NA,NA,NA,0.67,NA,55.45,9.05,BLQ,BLQ,BLQ,BLQ,559.74,0.82,27.94,0.03,BLQ
DL12-OC17-0408-EP,1028,58,NA,NA,NA,NA,NA,NA,0.67,NA,82.86,7.78,20.23,1.11,19.12,BLQ,579.15,0.85,28.19,0.07,BLQ
DL12-OC17-0508-EP,1028,122.5,NA,NA,NA,NA,NA,NA,0.59,NA,274.67,33.82,1.55,1.48,0.07,0.03,564.15,0.82,26.86,0.01,BLQ
DL12-OC17-0608-EP,1028,155.5,NA,NA,NA,NA,NA,NA,0.65,NA,336.87,31.81,BLQ,0.41,BLQ,BLQ,572.35,0.85,26.74,0.02,BLQ
DL12-OC17-0708-EP,1028,176.5,NA,NA,NA,NA,NA,NA,0.64,NA,454.49,39.21,BLQ,BLQ,BLQ,BLQ,547.32,0.8,24.56,0.01,BLQ
DL12-OC17-0908-EP,1028,205.5,NA,NA,NA,NA,NA,NA,0.63,NA,353.84,32.71,BLQ,1.37,BLQ,0.03,590.31,0.87,27.69,0.02,BLQ
DL12-OC17-1511-EP,1028,205.5,NA,NA,NA,NA,NA,NA,0.63,NA,353.84,32.71,BLQ,1.37,BLQ,0.03,590.31,0.87,27.69,0.02,BLQ
DL12-OC17-0602-EP,1488,2.5,NA,NA,NA,NA,NA,NA,0.61,NA,0.32,3.43,BLQ,0.25,BLQ,BLQ,570.47,0.84,27.5,0.04,BLQ
DL12-OC17-1008-EP,1488,12.5,NA,NA,NA,NA,NA,NA,0.55,NA,0.47,8.43,BLQ,1,BLQ,0.03,565.68,0.83,27.95,0.04,BLQ
DL12-OC17-1108-EP,1488,17.5,NA,NA,NA,NA,NA,NA,0.58,NA,0.48,4.21,BLQ,BLQ,BLQ,BLQ,571.25,0.84,28.99,0.05,BLQ
DL12-OC17-1208-EP,1488,22.5,NA,NA,NA,NA,NA,NA,0.6,NA,0.45,4.21,BLQ,BLQ,BLQ,BLQ,568.34,0.83,28.87,0.04,BLQ
DL12-OC17-1308-EP,1488,62.5,NA,NA,NA,NA,NA,NA,0.57,NA,280.33,6.68,BLQ,BLQ,BLQ,0.04,578.4,0.86,26.9,0.04,BLQ
DL12-OC17-1408-EP,1488,92.5,NA,NA,NA,NA,NA,NA,0.58,NA,454.12,7.45,BLQ,BLQ,BLQ,0.19,576.57,0.86,25.1,0.03,BLQ
DL12-OC17-1508-EP,1488,122.5,NA,NA,NA,NA,NA,NA,0.61,NA,649.77,7.13,BLQ,BLQ,BLQ,0.27,577.79,0.86,22.44,0.03,BLQ
DL12-OC17-1608-EP,1488,152.5,NA,NA,NA,NA,NA,NA,0.58,NA,801.69,7.45,BLQ,BLQ,BLQ,0.36,588.87,0.82,18.62,0.02,BLQ
